top - 14:26:21 up  4:36,  1 user,  load average: 1,52, 1,15, 1,08
Tasks: 211 total,   1 running, 210 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9,1 us,  3,0 sy,  0,0 ni, 83,3 id,  3,0 wa,  1,5 hi,  0,0 si,  0,0 st
MiB Mem :   2993,8 total,    153,1 free,   1905,0 used,    935,7 buff/cache
MiB Swap:   3072,0 total,   3071,7 free,      0,3 used.    755,5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  34304 root      20   0       0      0      0 I   0,0   0,0   0:00.58 kworker+
  34334 superad+  20   0  609460 100596  72944 S   0,0   3,3   0:00.52 chromium
  34384 superad+  20   0  704560 171160 102316 S   0,0   5,6   0:06.97 chromium
  34536 superad+  20   0  641876 119624  81372 S   0,0   3,9   0:06.03 chromium
  34906 root      20   0       0      0      0 I   0,0   0,0   0:00.50 kworker+
  35533 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  35567 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  36063 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  36302 root      20   0       0      0      0 I   0,0   0,0   0:00.04 kworker+
top - 14:35:50 up  4:46,  1 user,  load average: 0,98, 0,86, 0,91
Tasks: 215 total,   1 running, 214 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3,0 us,  6,0 sy,  0,0 ni, 89,6 id,  0,0 wa,  1,5 hi,  0,0 si,  0,0 st
MiB Mem :   2993,8 total,     99,2 free,   1965,1 used,    929,5 buff/cache
MiB Swap:   3072,0 total,   3063,2 free,      8,8 used.    640,5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    749 superad+  20   0  467744  95280  63040 S  12,5   3,1  34:08.16 xfwm4
  34209 root      20   0       0      0      0 I   6,2   0,0   0:47.60 kworker+
  36063 root      20   0       0      0      0 I   6,2   0,0   0:13.11 kworker+
      1 root      20   0  122052  10300   7988 S   0,0   0,3   0:01.94 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_perc+
      9 root      20   0       0      0      0 S   0,0   0,0   0:01.67 ksoftir+
     10 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcuc/0
     11 root      -2   0       0      0      0 I   0,0   0,0   0:04.76 rcu_pre+
     12 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcub/0
     13 root      rt   0       0      0      0 S   0,0   0,0   0:00.03 migrati+
     14 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     16 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     17 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     18 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     19 root      rt   0       0      0      0 S   0,0   0,0   0:00.03 migrati+
     20 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcuc/1
     21 root      20   0       0      0      0 S   0,0   0,0   0:02.11 ksoftir+
     23 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     25 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0,0   0,0   0:00.03 migrati+
     27 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcuc/2
     28 root      20   0       0      0      0 S   0,0   0,0   0:03.18 ksoftir+
     30 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     31 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     32 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_in+
     33 root      rt   0       0      0      0 S   0,0   0,0   0:00.03 migrati+
     34 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcuc/3
     35 root      20   0       0      0      0 S   0,0   0,0   0:02.03 ksoftir+
     37 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     38 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kdevtmp+
     39 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
     40 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tas+
     41 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kauditd
     44 root      20   0       0      0      0 S   0,0   0,0   0:00.01 khungta+
     45 root      20   0       0      0      0 S   0,0   0,0   0:00.00 oom_rea+
     46 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 writeba+
     47 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kcompac+
     48 root      25   5       0      0      0 S   0,0   0,0   0:00.00 ksmd
     49 root      39  19       0      0      0 S   0,0   0,0   0:00.00 khugepa+
    137 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kintegr+
    138 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kblockd
    139 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 blkcg_p+
    140 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 edac-po+
    141 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 devfreq+
    142 root      rt   0       0      0      0 S   0,0   0,0   0:00.00 watchdo+
    144 root      20   0       0      0      0 S   0,0   0,0   0:00.35 kswapd0
    145 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    148 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kthrotld
    149 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 acpi_th+
    150 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-wq
    151 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-re+
    152 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvme-de+
    153 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipv6_ad+
    164 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kstrp
    180 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 charger+
    217 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ata_sff
    218 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 firewire
    219 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 firewir+
    220 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    221 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    222 root      20   0       0      0      0 S   0,0   0,0   0:00.01 scsi_eh+
    223 root      20   0       0      0      0 S   0,0   0,0   0:00.01 scsi_eh+
    224 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    226 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    227 root      20   0       0      0      0 S   0,0   0,0   0:00.01 scsi_eh+
    228 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    229 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    233 root      20   0       0      0      0 S   0,0   0,0   0:00.02 scsi_eh+
    234 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    235 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    236 root      20   0       0      0      0 S   0,0   0,0   0:00.01 scsi_eh+
    237 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    238 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    240 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tm+
    246 root       0 -20       0      0      0 I   0,0   0,0   0:00.49 kworker+
    248 root       0 -20       0      0      0 I   0,0   0,0   0:00.38 kworker+
    252 root       0 -20       0      0      0 I   0,0   0,0   0:01.05 kworker+
    253 root       0 -20       0      0      0 I   0,0   0,0   0:00.48 kworker+
    264 root      20   0       0      0      0 S   0,0   0,0   0:00.95 jbd2/sd+
    265 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rs+
    290 root      20   0   91608  36864  35672 S   0,0   1,2   0:00.81 systemd+
    299 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 iprt-VB+
    301 root      20   0   78068   1424   1292 S   0,0   0,0   0:00.00 lvmetad
    311 root      20   0   41712   9948   6688 S   0,0   0,3   0:02.54 systemd+
    456 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 nvkm-di+
    459 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ttm_swap
    465 dbus      20   0   11352   4796   3568 S   0,0   0,2   0:01.82 dbus-da+
    466 root      20   0  411728  19700  16984 S   0,0   0,6   0:00.49 Network+
    475 chrony    20   0   79188   3156   2800 S   0,0   0,1   0:00.02 chronyd
    478 root      20   0   26412   7344   6360 S   0,0   0,2   0:00.84 systemd+
    493 root      20   0   38480   8800   7400 S   0,0   0,3   0:00.02 cupsd
    494 root      20   0   12580   5512   4852 S   0,0   0,2   0:00.01 sshd
    496 root      20   0    7804   2868   2604 S   0,0   0,1   0:00.00 vncserv+
    497 root      20   0  237084   7172   5688 S   0,0   0,2   0:00.05 lightdm
    502 root      20   0   24900  19460   7736 S   0,0   0,6   0:01.84 vncserv+
    503 superad+  20   0   32328   9396   7720 S   0,0   0,3   0:00.14 systemd
    504 user      20   0   32188   9180   7644 S   0,0   0,3   0:00.09 systemd
    509 root      20   0  385612 111812  69512 S   0,0   3,6   9:22.51 Xorg
